,community,year,keep_row
531,IRVING PARK,2021.0,11
532,JEFFERSON PARK,2002.0,2
533,JEFFERSON PARK,2003.0,2
534,JEFFERSON PARK,2004.0,2
535,JEFFERSON PARK,2005.0,2
536,JEFFERSON PARK,2006.0,4
537,JEFFERSON PARK,2007.0,8
538,JEFFERSON PARK,2008.0,6
539,JEFFERSON PARK,2009.0,6
540,JEFFERSON PARK,2010.0,10
541,JEFFERSON PARK,2011.0,7
542,JEFFERSON PARK,2012.0,5
543,JEFFERSON PARK,2013.0,6
544,JEFFERSON PARK,2014.0,3
545,JEFFERSON PARK,2015.0,2
546,JEFFERSON PARK,2016.0,5
547,JEFFERSON PARK,2017.0,4
548,JEFFERSON PARK,2018.0,5
549,JEFFERSON PARK,2019.0,5
550,JEFFERSON PARK,2020.0,6
551,JEFFERSON PARK,2021.0,3
552,KENWOOD,2001.0,2
553,KENWOOD,2002.0,6
554,KENWOOD,2003.0,6
555,KENWOOD,2004.0,5
556,KENWOOD,2005.0,5
557,KENWOOD,2006.0,5
558,KENWOOD,2007.0,5
559,KENWOOD,2008.0,7
560,KENWOOD,2009.0,3
561,KENWOOD,2010.0,6
562,KENWOOD,2011.0,2
563,KENWOOD,2012.0,7
564,KENWOOD,2013.0,2
565,KENWOOD,2014.0,4
566,KENWOOD,2015.0,3
567,KENWOOD,2016.0,4
568,KENWOOD,2017.0,1
569,KENWOOD,2018.0,4
570,KENWOOD,2019.0,1
571,KENWOOD,2020.0,2
572,LAKE VIEW,2001.0,2
573,LAKE VIEW,2002.0,78
574,LAKE VIEW,2003.0,80
575,LAKE VIEW,2004.0,70
576,LAKE VIEW,2005.0,70
577,LAKE VIEW,2006.0,71
578,LAKE VIEW,2007.0,71
579,LAKE VIEW,2008.0,36
580,LAKE VIEW,2009.0,52
581,LAKE VIEW,2010.0,30
582,LAKE VIEW,2011.0,60
583,LAKE VIEW,2012.0,32
584,LAKE VIEW,2013.0,37
585,LAKE VIEW,2014.0,33
586,LAKE VIEW,2015.0,37
587,LAKE VIEW,2016.0,36
588,LAKE VIEW,2017.0,45
589,LAKE VIEW,2018.0,46
590,LAKE VIEW,2019.0,53
591,LAKE VIEW,2020.0,44
592,LAKE VIEW,2021.0,46
593,LINCOLN PARK,2001.0,3
594,LINCOLN PARK,2002.0,78
595,LINCOLN PARK,2003.0,75
596,LINCOLN PARK,2004.0,72
597,LINCOLN PARK,2005.0,68
598,LINCOLN PARK,2006.0,61
599,LINCOLN PARK,2007.0,63
600,LINCOLN PARK,2008.0,7
601,LINCOLN PARK,2009.0,62
602,LINCOLN PARK,2010.0,10
603,LINCOLN PARK,2011.0,66
604,LINCOLN PARK,2012.0,16
605,LINCOLN PARK,2013.0,49
606,LINCOLN PARK,2014.0,10
607,LINCOLN PARK,2015.0,53
608,LINCOLN PARK,2016.0,14
609,LINCOLN PARK,2017.0,52
610,LINCOLN PARK,2018.0,12
611,LINCOLN PARK,2019.0,51
612,LINCOLN PARK,2020.0,21
613,LINCOLN PARK,2021.0,52
614,LINCOLN SQUARE,2001.0,7
615,LINCOLN SQUARE,2002.0,56
616,LINCOLN SQUARE,2003.0,67
617,LINCOLN SQUARE,2004.0,53
618,LINCOLN SQUARE,2005.0,48
619,LINCOLN SQUARE,2006.0,47
620,LINCOLN SQUARE,2007.0,45
621,LINCOLN SQUARE,2008.0,7
622,LINCOLN SQUARE,2009.0,42
623,LINCOLN SQUARE,2010.0,5
624,LINCOLN SQUARE,2011.0,40
625,LINCOLN SQUARE,2012.0,5
626,LINCOLN SQUARE,2013.0,35
627,LINCOLN SQUARE,2014.0,9
628,LINCOLN SQUARE,2015.0,32
629,LINCOLN SQUARE,2016.0,11
630,LINCOLN SQUARE,2017.0,31
631,LINCOLN SQUARE,2018.0,7
632,LINCOLN SQUARE,2019.0,29
633,LINCOLN SQUARE,2020.0,11
634,LINCOLN SQUARE,2021.0,24
635,LOGAN SQUARE,2001.0,2
636,LOGAN SQUARE,2002.0,32
637,LOGAN SQUARE,2003.0,27
638,LOGAN SQUARE,2004.0,37
639,LOGAN SQUARE,2005.0,24
640,LOGAN SQUARE,2006.0,22
641,LOGAN SQUARE,2007.0,28
642,LOGAN SQUARE,2008.0,7
643,LOGAN SQUARE,2009.0,30
644,LOGAN SQUARE,2010.0,10
645,LOGAN SQUARE,2011.0,24
646,LOGAN SQUARE,2012.0,12
647,LOGAN SQUARE,2013.0,22
648,LOGAN SQUARE,2014.0,15
649,LOGAN SQUARE,2015.0,24
650,LOGAN SQUARE,2016.0,22
651,LOGAN SQUARE,2017.0,26
652,LOGAN SQUARE,2018.0,27
653,LOGAN SQUARE,2019.0,28
654,LOGAN SQUARE,2020.0,36
655,LOGAN SQUARE,2021.0,26
656,LOOP,2001.0,16
657,LOOP,2002.0,122
658,LOOP,2003.0,131
659,LOOP,2004.0,135
660,LOOP,2005.0,136
661,LOOP,2006.0,154
662,LOOP,2007.0,152
663,LOOP,2008.0,90
664,LOOP,2009.0,85
665,LOOP,2010.0,93
666,LOOP,2011.0,89
667,LOOP,2012.0,89
668,LOOP,2013.0,61
669,LOOP,2014.0,92
670,LOOP,2015.0,59
671,LOOP,2016.0,86
672,LOOP,2017.0,66
673,LOOP,2018.0,88
674,LOOP,2019.0,83
675,LOOP,2020.0,70
676,LOOP,2021.0,64
677,LOWER WEST SIDE,2001.0,1
678,LOWER WEST SIDE,2002.0,8
679,LOWER WEST SIDE,2003.0,12
680,LOWER WEST SIDE,2004.0,12
681,LOWER WEST SIDE,2005.0,17
682,LOWER WEST SIDE,2006.0,17
683,LOWER WEST SIDE,2007.0,37
684,LOWER WEST SIDE,2008.0,5
685,LOWER WEST SIDE,2009.0,8
686,LOWER WEST SIDE,2010.0,6
687,LOWER WEST SIDE,2011.0,13
688,LOWER WEST SIDE,2012.0,6
689,LOWER WEST SIDE,2013.0,17
690,LOWER WEST SIDE,2014.0,8
691,LOWER WEST SIDE,2015.0,16
692,LOWER WEST SIDE,2016.0,7
693,LOWER WEST SIDE,2017.0,13
694,LOWER WEST SIDE,2018.0,15
695,LOWER WEST SIDE,2019.0,11
696,LOWER WEST SIDE,2020.0,10
697,LOWER WEST SIDE,2021.0,17
698,MCKINLEY PARK,2001.0,1
699,MCKINLEY PARK,2002.0,6
700,MCKINLEY PARK,2003.0,5
701,MCKINLEY PARK,2004.0,4
702,MCKINLEY PARK,2005.0,4
703,MCKINLEY PARK,2006.0,4
704,MCKINLEY PARK,2007.0,7
705,MCKINLEY PARK,2008.0,1
706,MCKINLEY PARK,2010.0,3
707,MCKINLEY PARK,2012.0,2
708,MCKINLEY PARK,2014.0,1
709,MCKINLEY PARK,2015.0,1
710,MCKINLEY PARK,2016.0,1
711,MCKINLEY PARK,2017.0,3
712,MCKINLEY PARK,2019.0,1
713,MCKINLEY PARK,2021.0,2
714,MONTCLARE,2002.0,10
715,MONTCLARE,2003.0,12
716,MONTCLARE,2004.0,10
717,MONTCLARE,2005.0,9
718,MONTCLARE,2006.0,10
719,MONTCLARE,2007.0,11
720,MONTCLARE,2008.0,11
721,MONTCLARE,2009.0,1
722,MONTCLARE,2010.0,9
723,MONTCLARE,2012.0,7
724,MONTCLARE,2014.0,6
725,MONTCLARE,2016.0,8
726,MONTCLARE,2018.0,4
727,MONTCLARE,2020.0,2
728,MONTCLARE,2021.0,1
729,MORGAN PARK,2002.0,3
730,MORGAN PARK,2003.0,3
731,MORGAN PARK,2004.0,3
732,MORGAN PARK,2005.0,2
733,MORGAN PARK,2006.0,3
734,MORGAN PARK,2007.0,3
735,MORGAN PARK,2008.0,3
736,MORGAN PARK,2009.0,2
737,MORGAN PARK,2011.0,3
738,MORGAN PARK,2012.0,1
739,MORGAN PARK,2013.0,2
740,MORGAN PARK,2014.0,1
741,MORGAN PARK,2015.0,1
742,MORGAN PARK,2016.0,1
743,MORGAN PARK,2017.0,1
744,MORGAN PARK,2019.0,3
745,MORGAN PARK,2020.0,3
746,MORGAN PARK,2021.0,2
747,MOUNT GREENWOOD,2005.0,1
748,MOUNT GREENWOOD,2006.0,2
749,MOUNT GREENWOOD,2007.0,1
750,MOUNT GREENWOOD,2011.0,1
751,MOUNT GREENWOOD,2012.0,4
752,MOUNT GREENWOOD,2014.0,3
753,MOUNT GREENWOOD,2015.0,1
754,MOUNT GREENWOOD,2016.0,2
