,CCA_name,Year,crimes,coffeeshops
550,Garfield Ridge,2012.0,52.0,13.0
551,Garfield Ridge,2013.0,49.0,1.0
552,Garfield Ridge,2014.0,43.0,12.0
553,Garfield Ridge,2015.0,36.0,3.0
554,Garfield Ridge,2016.0,52.0,13.0
555,Garfield Ridge,2017.0,62.0,8.0
556,Garfield Ridge,2018.0,34.0,6.0
557,Garfield Ridge,2019.0,30.0,11.0
558,Garfield Ridge,2020.0,44.0,4.0
559,Garfield Ridge,2021.0,45.0,15.0
560,Grand Boulevard,2002.0,292.0,2.0
561,Grand Boulevard,2003.0,391.0,4.0
562,Grand Boulevard,2004.0,306.0,7.0
563,Grand Boulevard,2005.0,242.0,11.0
564,Grand Boulevard,2006.0,312.0,13.0
565,Grand Boulevard,2007.0,258.0,11.0
566,Grand Boulevard,2008.0,263.0,3.0
567,Grand Boulevard,2009.0,235.0,9.0
568,Grand Boulevard,2010.0,196.0,3.0
569,Grand Boulevard,2011.0,205.0,4.0
570,Grand Boulevard,2012.0,217.0,1.0
571,Grand Boulevard,2013.0,208.0,2.0
572,Grand Boulevard,2014.0,178.0,2.0
573,Grand Boulevard,2015.0,160.0,1.0
574,Grand Boulevard,2016.0,192.0,2.0
575,Grand Boulevard,2017.0,196.0,3.0
576,Grand Boulevard,2018.0,158.0,1.0
577,Grand Boulevard,2019.0,102.0,4.0
578,Grand Boulevard,2020.0,89.0,3.0
579,Grand Boulevard,2021.0,84.0,5.0
580,Greater Grand Crossing,2002.0,508.0,2.0
581,Greater Grand Crossing,2003.0,595.0,3.0
582,Greater Grand Crossing,2004.0,551.0,5.0
583,Greater Grand Crossing,2005.0,516.0,4.0
584,Greater Grand Crossing,2006.0,561.0,6.0
585,Greater Grand Crossing,2007.0,588.0,7.0
586,Greater Grand Crossing,2008.0,656.0,7.0
587,Greater Grand Crossing,2009.0,644.0,5.5
588,Greater Grand Crossing,2010.0,486.0,4.0
589,Greater Grand Crossing,2011.0,521.0,1.0
590,Greater Grand Crossing,2012.0,535.0,2.0
591,Greater Grand Crossing,2013.0,419.0,1.0
592,Greater Grand Crossing,2014.0,329.0,3.0
593,Greater Grand Crossing,2015.0,316.0,3.0
594,Greater Grand Crossing,2016.0,414.0,1.0
595,Greater Grand Crossing,2017.0,415.0,3.0
596,Greater Grand Crossing,2018.0,258.0,4.0
597,Greater Grand Crossing,2019.0,256.0,7.0
598,Greater Grand Crossing,2020.0,258.0,5.0
599,Greater Grand Crossing,2021.0,206.0,6.0
600,Hegewisch,2002.0,6.0,1.0
601,Hegewisch,2003.0,16.0,1.0
602,Hegewisch,2004.0,25.0,1.0
603,Hegewisch,2005.0,21.0,1.0
604,Hegewisch,2006.0,13.0,1.0
605,Hegewisch,2007.0,19.0,1.0
606,Hegewisch,2008.0,25.0,1.0
607,Hegewisch,2009.0,9.0,1.0
608,Hegewisch,2010.0,8.0,1.0
609,Hegewisch,2011.0,11.0,1.0
610,Hegewisch,2012.0,12.0,1.0
611,Hegewisch,2013.0,10.0,1.0
612,Hegewisch,2014.0,7.0,1.0
613,Hegewisch,2015.0,11.0,1.0
614,Hegewisch,2016.0,6.0,1.0
615,Hegewisch,2017.0,12.0,1.0
616,Hegewisch,2018.0,13.0,1.0
617,Hegewisch,2019.0,11.0,1.0
618,Hegewisch,2020.0,8.0,2.0
619,Hegewisch,2021.0,9.0,1.8
620,Hermosa,2002.0,100.0,1.6
621,Hermosa,2003.0,124.0,1.4
622,Hermosa,2004.0,83.0,1.2
623,Hermosa,2005.0,87.0,1.0
624,Hermosa,2006.0,90.0,2.0
625,Hermosa,2007.0,82.0,3.0
626,Hermosa,2008.0,88.0,3.0
627,Hermosa,2009.0,106.0,3.0
628,Hermosa,2010.0,87.0,3.0
629,Hermosa,2011.0,82.0,3.0
630,Hermosa,2012.0,59.0,3.0
631,Hermosa,2013.0,57.0,3.0
632,Hermosa,2014.0,50.0,2.0
633,Hermosa,2015.0,46.0,2.0
634,Hermosa,2016.0,60.0,1.0
