,timeperiod_x,CCA_name,Year,crimes,year,coffeeshops
270,2020,Lincoln Square,2020,34.0,2020.0,11.0
271,2020,Logan Square,2020,131.0,2020.0,36.0
272,2020,Loop,2020,188.0,2020.0,73.0
273,2020,Lower West Side,2020,75.0,2020.0,10.0
274,2020,Mckinley Park,2020,29.0,0.0,0.0
275,2020,Montclare,2020,14.0,2020.0,2.0
276,2020,Morgan Park,2020,59.0,2020.0,4.0
277,2020,Mount Greenwood,2020,4.0,0.0,0.0
278,2020,Near North Side,2020,260.0,2020.0,47.0
279,2020,Near South Side,2020,53.0,2020.0,5.0
280,2020,Near West Side,2020,285.0,2020.0,38.0
281,2020,New City,2020,138.0,2020.0,9.0
282,2020,North Center,2020,29.0,2020.0,8.0
283,2020,North Lawndale,2020,412.0,2020.0,5.0
284,2020,North Park,2020,20.0,0.0,0.0
285,2020,Norwood Park,2020,20.0,2020.0,1.0
286,2020,O'Hare,2020,7.0,0.0,0.0
287,2020,Oakland,2020,21.0,0.0,0.0
288,2020,Portage Park,2020,77.0,2020.0,3.0
289,2020,Pullman,2020,21.0,2020.0,1.0
290,2020,Riverdale,2020,45.0,0.0,0.0
291,2020,Rogers Park,2020,121.0,2020.0,11.0
292,2020,Roseland,2020,221.0,0.0,0.0
293,2020,South Chicago,2020,117.0,2020.0,7.0
294,2020,South Deering,2020,68.0,2020.0,0.0
295,2020,South Lawndale,2020,145.0,2020.0,3.0
296,2020,South Shore,2020,304.0,2020.0,12.0
297,2020,Uptown,2020,106.0,2020.0,11.0
298,2020,Washington Heights,2020,100.0,2020.0,7.0
299,2020,Washington Park,2020,68.0,2020.0,3.0
300,2020,West Elsdon,2020,35.0,0.0,0.0
301,2020,West Englewood,2020,269.0,0.0,0.0
302,2020,West Garfield Park,2020,352.0,0.0,0.0
303,2020,West Lawn,2020,43.0,2020.0,2.0
304,2020,West Pullman,2020,129.0,2020.0,3.0
305,2020,West Ridge,2020,105.0,2020.0,3.0
306,2020,West Town,2020,255.0,2020.0,48.0
307,2020,Woodlawn,2020,105.0,2020.0,8.0
