,timeperiod,GEOG,crimes,coffeeshops,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,EMP,UNEMP,TOT_POP,WHITE,HISP,BLACK,ASIAN,POP_HH,AsianPerc,BlackPerc,HispPerc,WhitePerc,UnemployedPerc,EmployedPerc,Inc25k,Inc50k,Inc75k,Inc100k,Inc150k,Inc_gt150k
54,2005-2009,Norwood Park,83.0,30.0,2291.566591,3044.914221,2448.556433,2373.544018,2509.8386,1869.442438,69430.39202,17980.55346,1786.319252,37328.91321,30024.92358,4924.734456,310.0660622,1707.189119,36727.78109,0.04573369466707815,0.008306324388702983,0.1319281498578619,0.8043342545519556,0.047853502778148524,0.4816789966224682,0.06138851613783695,0.08156985990645721,0.06559409911628661,0.0635846000832447,0.06723578010108375,0.05008028033077581
55,2005-2009,O'Hare,44.0,0.0,1561.358852,1699.450957,952.8636364,1179.964115,542.1028708,191.9784689,44880.96179,7259.558648,566.4552684,13742.97627,10144.69831,1877.083616,191.9966102,1165.19774,13729.97627,0.08478496339570556,0.013970526211204759,0.13658494194576676,0.73817331200267,0.04121780153521287,0.5282377343434066,0.11361140566096606,0.12365960062885273,0.06933459082513573,0.08585943043325943,0.039445812911965396,0.013969206169632715
56,2005-2009,Oakland,148.0,0.0,1585.0,446.0,246.0,121.0,164.0,181.0,21533.78409,2112.0,850.0,6260.0,180.0,229.0,5769.0,57.0,6249.0,0.009105431309904153,0.9215654952076677,0.0365814696485623,0.02875399361022364,0.13578274760383385,0.33738019169329075,0.2531948881789137,0.07124600638977636,0.03929712460063898,0.019329073482428114,0.02619808306709265,0.02891373801916933
57,2005-2009,Portage Park,686.0,66.0,4731.0,5863.391459,4472.071174,3075.743772,2908.6121,1450.72242,53847.0889,31697.35471,4585.841009,63613.58384,32424.35496,26387.22889,811.0,2715.0,63436.58384,0.04267956364207887,0.012748849397320797,0.41480494097563797,0.5097080372260315,0.07208902143501682,0.49827965658600126,0.0743709081365286,0.09217200329017024,0.0703005695332005,0.048350424332891974,0.04572312899892106,0.022805230147838185
58,2005-2009,Pullman,303.0,0.0,969.0,759.0,577.0,475.0,189.0,15.0,42938.80606,2872.0,847.0,7262.0,522.0,549.0,6131.0,39.0,7262.0,0.005370421371522997,0.8442577802258331,0.07559900853759295,0.07188102451115395,0.11663453594051225,0.3954833379234371,0.1334343156155329,0.10451666207656293,0.07945469567612228,0.06540897824290828,0.026025888185072982,0.0020655466813549986
59,2005-2009,Riverdale,368.0,0.0,1570.0,461.0,184.0,107.0,0.0,0.0,14204.39034,1434.0,760.0,6820.0,0.0,136.0,6678.0,0.0,6770.0,0.0,0.9791788856304985,0.01994134897360704,0.0,0.11143695014662756,0.21026392961876833,0.23020527859237536,0.06759530791788856,0.026979472140762465,0.015689149560117303,0.0,0.0
60,2005-2009,Rogers Park,1460.0,86.0,8092.0,6113.0,4026.0,1925.0,2580.0,1245.0,39269.40559,30380.0,2881.0,57559.0,21819.0,14280.0,15662.0,3876.0,54629.0,0.06733959936760542,0.27210340693896695,0.24809326082801994,0.3790719088239893,0.05005298910682952,0.5278062509772581,0.14058618113587798,0.1062040688684654,0.06994562101495856,0.03344394447436543,0.04482357233447419,0.021629979673031152
61,2005-2009,Roseland,2709.0,0.0,5254.0,4476.0,2799.0,1416.0,1182.0,397.0,37967.11247,14275.0,3629.0,45285.0,503.0,357.0,43581.0,217.0,44588.0,0.0047918736888594455,0.962371646240477,0.00788340510102683,0.011107430716572816,0.08013691067682456,0.31522579220492436,0.11602075742519598,0.09884067572043723,0.06180854587611792,0.03126863199735012,0.02610135806558463,0.00876669979021751
62,2005-2009,South Chicago,1757.0,12.0,4574.0,2995.0,1475.0,801.0,643.0,282.0,30559.4811,9548.0,2347.0,29458.0,927.0,6962.0,21206.0,86.0,29334.0,0.0029194106864009776,0.7198723606490597,0.23633647905492566,0.03146853146853147,0.07967275443003598,0.3241224794622853,0.15527191255346595,0.10167017448570846,0.0500712879353656,0.027191255346595153,0.021827686876230566,0.009572951320524136
63,2005-2009,South Deering,471.0,9.0,2207.0,1288.0,983.0,500.0,295.0,59.0,32278.30531,5772.0,1125.0,16445.0,891.0,5198.0,10022.0,49.0,16405.0,0.0029796290665855883,0.6094253572514442,0.31608391608391606,0.05418060200668896,0.06840985101854667,0.35098814229249015,0.13420492550927335,0.07832167832167833,0.05977500760109456,0.030404378230465188,0.01793858315597446,0.0035877166311948923
