,names_doingbusiness,keep_row,ID,LATITUDE,LONGITUDE,LOCATION,year
71298,pittsfield cafe,1,49504-20021116,41.883111687,-87.625850989,"(41.88311168664746, -87.62585098919836)",2002.0
71322,yoshi's cafe,1,2115-20070216,41.941696341,-87.649176566,"(41.94169634075317, -87.64917656601214)",2007.0
71354,mannys coffee shop inc,1,5945-20070516,41.867728804,-87.642058833,"(41.8677288042357, -87.64205883259166)",2007.0
71369,gargoyle cafe,1,33353-20150716,41.788690225,-87.599498495,"(41.788690225349605, -87.59949849486094)",2015.0
71414,connie coffee & pastry,1,1403905-20031116,41.89605275,-87.66161251,"(41.89605275011061, -87.66161251045357)",2003.0
71679,stax cafe,1,2595674-20200716,41.891732865,-87.648654193,"(41.89173286514732, -87.64865419293943)",2020.0
71778,starbucks coffee #2286,1,23102-20020930,41.927234066,-87.65104908,"(41.92723406625072, -87.65104907991683)",2002.0
71875,cafe sushi-wells,1,1122833-20120216,41.906926209,-87.634729782,"(41.906926209071756, -87.63472978194264)",2012.0
71934,starbucks coffee #2428,1,1021782-20031116,42.004715699,-87.66100296,"(42.00471569947856, -87.66100295990694)",2003.0
72008,cafe umbrella,1,1145006-20031116,41.97432474,-87.692286234,"(41.97432473985242, -87.69228623424902)",2003.0
72174,b.p.,1,2363956-20161216,41.759123815,-87.586294285,"(41.759123814895936, -87.58629428541403)",2016.0
72192,billings cafe,1,2631159-20181102,41.789041956,-87.604813722,"(41.78904195612881, -87.60481372206813)",2018.0
72254,cafe bionda,1,2293115-20160616,41.855885131,-87.627305436,"(41.855885130548536, -87.62730543584168)",2016.0
72308,marina cafe,1,1594866-20050825,41.77863625,-87.575451405,"(41.77863624961709, -87.57545140496221)",2005.0
72332,starbucks coffee,1,23072-20110416,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)",2011.0
72394,lasalle cafe luna,1,1168341-20040216,41.895283321,-87.632831712,"(41.89528332134926, -87.63283171218256)",2004.0
72548,cafe de fusion,1,1496077-20070516,41.925552885,-87.649515482,"(41.92555288495804, -87.64951548179694)",2007.0
72569,cafe' gogo's,1,69439-20031116,41.968461303,-87.693856639,"(41.968461303175566, -87.69385663931219)",2003.0
72658,via gelato & cafe,1,1910553-20080613,41.976230337,-87.668567175,"(41.97623033664852, -87.66856717502344)",2008.0
72678,rehydrate water bar & cafe,1,1878438-20090316,41.944316998,-87.747161464,"(41.94431699793207, -87.74716146412266)",2009.0
72686,gloria's cafe,1,1474889-20041116,41.924785635,-87.7108253,"(41.92478563490711, -87.71082530032471)",2004.0
