,Unnamed: 0,LONGITUDE,LATITUDE,CCA
262,76249,-87.653415624,41.9179944,LINCOLN PARK
263,76310,-87.650710654,41.779773674,ENGLEWOOD
264,76370,-87.681389447,41.957673949,NORTH CENTER
265,76594,-87.692834057,41.981866037,LINCOLN SQUARE
266,76811,-87.657382024,41.983559426,EDGEWATER
267,76827,-87.602108133,41.751211787,"CHATHAM,BURNSIDE"
268,76874,-87.660135907,41.99052009,EDGEWATER
269,77187,-87.644223955,41.939194111,LAKE VIEW
270,77341,-87.692834057,41.981866037,LINCOLN SQUARE
271,77492,-87.666563343,42.020509239,ROGERS PARK
272,77514,-87.637131776,41.880557025,LOOP
273,77613,-87.632728358,41.852271061,"ARMOUR SQUARE,CHINATOWN"
274,77657,-87.638887444,41.881664289,WEST LOOP
275,77683,-87.716263848,41.981249671,"NORTH PARK,ALBANY PARK"
276,77797,-87.670532173,41.706454243,BEVERLY
277,77828,-87.636403135,41.929904874,LINCOLN PARK
278,77831,-87.605547143,41.778708617,WOODLAWN
279,77885,-87.68286119,41.910277011,"WICKER PARK,WEST TOWN"
280,77950,-87.658604614,41.891769778,"WICKER PARK,WEST TOWN"
281,78049,-87.693220135,41.968467022,LINCOLN SQUARE
282,78075,-87.708499442,41.964611762,"NORTH PARK,ALBANY PARK"
283,78080,-87.634022032,41.878006063,LOOP
284,78092,-87.731564037,41.931842244,"BELMONT CRAIGIN,HERMOSA"
285,78133,-87.647493345,41.89175404,"WICKER PARK,WEST TOWN"
286,78328,-87.627876078,41.880715138,LOOP
287,78354,-87.680911906,41.679311763,"MOUNT GREENWOOD,MORGAN PARK"
288,78469,-87.747675133,41.953491522,PORTAGE PARK
289,78488,-87.625867137,41.891590741,RIVER NORTH
290,78539,-87.648763817,41.921270644,LINCOLN PARK
291,78574,-87.624662555,41.885848995,LOOP
292,78616,-87.645495992,41.84755805,BRIDGEPORT
293,78829,-87.653962589,41.943820984,LAKE VIEW
294,78841,-87.651831571,41.88004797,WEST LOOP
295,78905,-87.689982849,41.99628183,WEST RIDGE
296,78952,-87.630950486,41.878814822,LOOP
297,79054,-87.714360878,41.854570359,NORTH LAWNDALE
298,79064,-87.681838366,41.718398193,BEVERLY
299,79226,-87.63318903,41.878014487,LOOP
300,79256,-87.620422057,41.893365397,
301,79300,-87.622184053,41.857838242,NEAR SOUTH SIDE
302,79305,-87.621438688,41.890001335,
303,79389,-87.638245404,41.882007859,WEST LOOP
304,79480,-87.617589151,41.893341296,
305,79555,-87.6474973,41.884515458,WEST LOOP
306,79637,-87.624307178,41.891688517,STREETERVILLE
307,79701,-87.625850989,41.883111687,LOOP
308,79746,-87.685607439,41.845303556,LOWER WEST SIDE
309,79920,-87.758346968,41.968005707,JEFFERSON PARK
310,80024,-87.605084722,41.789611845,HYDE PARK
